id_user,nom,prenom,email,telephone,role,mot_de_passe
123456789,Doe,John,john.doe@example.com,0123456789,C,mdp_client
987654321,Smith,Jane,jane.smith@example.com,0508060907,V,mdp_vendeur
100000003,Zelensky,Volodymyr,slava.ukraine@gmail.com,0102030405,C,mdp_ua
706410595,RENAUD,Paul,paul@mail.com,0203010405,C,mdp_paul
296059102,Jeff,Bezos,jeffbezos@mail.com,0203065485,C,mdp_amazon
444444444,RENAUD,Paul,paul@mail.com,0203010405,A,mdp_paul
363818237,Argaon,Ilyann,ilyann@mail.com,0102030504,A,mdp_ilyann
720800503,Vasseur,Martin,martin@mail.com,0102030405,V,mdp_martin
220336319,Oudin,Victor,victor@mail.com,0904526325,C,mdp_victor
225490574,dupont,jean,jean@mail.com,0102050888,C,mdp_jean
356834481,duchateau,jaques,jaques@mail.com,0105040221,C,mdp_jaques
954644716,kenobi,obi-wan,obi-wan@mail.com,0550161525,V,mdp_obi-wan
625113378,gomila,gustave,gustave@mail.com,0405098052,C,mdp_gustave
568317091,haquet,alexandre,alexandre@mail.com,0455205252,C,msp_alexandre
744001773,dupont,thomas,thomas@mail.com,1445153514,C,mdp_thomas
